,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
238108,PHL|FLL|NK,992.0,164.0
238150,BOS|BWI|NK,369.0,95.0
238161,BWI|BOS|NK,369.0,91.0
238231,MSP|BWI|NK,936.0,143.0
238338,SEA|LAS|NK,867.0,144.0
238384,LAS|SEA|NK,867.0,154.0
238463,BOS|DTW|NK,632.0,123.0
238480,DTW|BOS|NK,632.0,109.0
239516,DTW|MSP|NK,528.0,104.0
239533,MSP|DTW|NK,528.0,95.0
240645,ATL|MSP|NK,907.0,153.0
240662,MSY|ATL|NK,425.0,82.0
240679,ATL|MSY|NK,425.0,91.0
240696,MSP|ATL|NK,907.0,146.0
240950,ACY|ATL|NK,679.0,124.0
240967,BOS|ACY|NK,274.0,74.0
241508,ACY|BOS|NK,274.0,78.0
241525,ATL|ACY|NK,679.0,115.0
241602,DTW|ACY|NK,497.0,90.0
241645,IAH|MSP|NK,1034.0,161.0
241662,ACY|DTW|NK,497.0,105.0
242028,DFW|BOS|NK,1562.0,220.0
242192,LAX|PHL|NK,2402.0,310.0
242211,PHL|LAX|NK,2402.0,355.0
242257,PHL|MSP|NK,980.0,170.0
242274,MSP|PHL|NK,980.0,150.0
242296,MYR|CRW|NK,356.0,71.0
242301,CRW|MYR|NK,356.0,69.0
242311,MSP|IAH|NK,1034.0,180.0
243144,LAX|MSY|NK,1670.0,222.0
243536,CLE|MYR|NK,557.0,94.0
243553,MYR|CLE|NK,557.0,105.0
244102,BOS|CLE|NK,563.0,119.0
244269,CLE|BOS|NK,563.0,102.0
244520,PDX|DFW|NK,1616.0,221.0
244890,ORD|BOS|NK,867.0,143.0
246255,BOS|ORD|NK,867.0,169.0
246398,DTW|BWI|NK,409.0,83.0
246407,BWI|DTW|NK,409.0,92.0
247978,IAH|OAK|NK,1628.0,243.0
248088,ORD|ACY|NK,720.0,114.0
248223,MSY|LAX|NK,1670.0,254.0
248722,PHX|LAX|NK,370.0,88.0
248791,LAX|PHX|NK,370.0,88.0
248950,BOS|DFW|NK,1562.0,252.0
249291,DFW|PDX|NK,1616.0,239.0
249594,OAK|IAH|NK,1628.0,227.0
249774,ACY|ORD|NK,720.0,141.0
250031,PBG|MYR|NK,811.0,134.0
250038,MYR|PBG|NK,811.0,129.0
250076,DFW|MYR|NK,1048.0,154.0
250083,MYR|DFW|NK,1048.0,175.0
253031,DTW|BMI|OO,313.0,87.0
253163,EVV|DTW|OO,363.0,85.0
253275,RIC|DEN|OO,1482.0,220.0
255006,CLT|MSP|OO,930.0,172.0
255029,MSP|CLT|OO,930.0,150.0
256523,DTW|EVV|OO,363.0,92.0
257165,CRW|IAH|OO,975.0,173.0
257748,DTW|PIT|OO,201.0,67.0
257775,PIT|DTW|OO,201.0,66.0
257973,ABE|DTW|OO,425.0,105.0
257978,DTW|ABE|OO,425.0,85.0
265376,BMI|DTW|OO,313.0,85.0
265495,ATL|AUS|OO,813.0,155.0
268139,ATL|CAE|OO,192.0,59.0
268159,CAE|ATL|OO,192.0,70.0
269736,CVG|BWI|OO,430.0,89.0
270641,BWI|CVG|OO,430.0,104.0
272885,DTW|OMA|OO,651.0,133.0
279912,DEN|CLE|OO,1201.0,173.0
282072,IAH|SAV|OO,851.0,133.0
282371,RNO|DEN|OO,804.0,135.0
283520,SAV|IAH|OO,851.0,154.0
285312,HRL|IAH|OO,295.0,75.0
287692,IAH|MOB|OO,427.0,83.0
288318,IAH|CRW|OO,975.0,145.0
289676,ORD|SCE|OO,528.0,108.0
291320,CAE|IAH|OO,878.0,162.0
292026,SCE|ORD|OO,528.0,117.0
292353,ORF|IAH|OO,1201.0,206.0
292376,DEN|RIC|OO,1482.0,192.0
292995,MOB|IAH|OO,427.0,98.0
293329,IAH|HRL|OO,295.0,71.0
295747,ORD|ORF|OO,717.0,127.0
296463,IAH|CAE|OO,878.0,136.0
300758,OMA|EWR|UA,1134.0,169.0
